,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,Longitude,Latitude,geometry,dist_from_centre,PopDens,buffer,rivals
0,688165,PI/000263562,AVM Curiosities (HCA),Other catering premises,N1 9PS,Exempt,fhrs_exempt_en-GB,2017-07-31,519,Islington,-0.10661499947309,51.5344581604004,POINT (-0.10661499947309 51.5344581604004),0.01670911299514161,5.74,"POLYGON ((-0.08161499947309001 51.5344581604004, -0.08173538130628508 51.53200773189216, -0.08209536746300924 51.52958090234999, -0.08269149107978478 51.52720104346903, -0.08351801116030783 51.52489107459127, -0.08456696786438112 51.52267324197975, -0.08582825916552636 51.52056890457491, -0.08728973813902158 51.51859832829631, -0.0889373299434263 51.51678049087074, -0.09075516736899886 51.51513289906633, -0.09272574364759995 51.51367142009283, -0.09483008105244005 51.51241012879169, -0.09704791366396276 51.51136117208762, -0.09935788254172845 51.5105346520071, -0.1017377414226868 51.50993852839031, -0.104164570964851 51.50957854223359, -0.10661499947309 51.5094581604004, -0.109065427981329 51.50957854223359, -0.1114922575234932 51.50993852839031, -0.1138721164044516 51.5105346520071, -0.1161820852822172 51.51136117208762, -0.1183999178937399 51.51241012879169, -0.1205042552985801 51.51367142009283, -0.1224748315771811 51.51513289906633, -0.1242926690027537 51.51678049087074, -0.1259402608071584 51.51859832829631, -0.1274017397806536 51.52056890457491, -0.1286630310817989 51.52267324197975, -0.1297119877858722 51.52489107459127, -0.1305385078663952 51.52720104346903, -0.1311346314831708 51.52958090234999, -0.1314946176398949 51.53200773189216, -0.13161499947309 51.5344581604004, -0.1314946176398949 51.53690858890864, -0.1311346314831708 51.5393354184508, -0.1305385078663952 51.54171527733176, -0.1297119877858722 51.54402524620952, -0.1286630310817989 51.54624307882105, -0.1274017397806536 51.54834741622589, -0.1259402608071584 51.55031799250449, -0.1242926690027537 51.55213582993006, -0.1224748315771811 51.55378342173447, -0.1205042552985801 51.55524490070796, -0.11839991789374 51.55650619200911, -0.1161820852822173 51.55755514871318, -0.1138721164044516 51.5583816687937, -0.1114922575234932 51.55897779241048, -0.109065427981329 51.5593377785672, -0.10661499947309 51.5594581604004, -0.104164570964851 51.5593377785672, -0.1017377414226868 51.55897779241048, -0.09935788254172845 51.5583816687937, -0.09704791366396275 51.55755514871318, -0.09483008105244006 51.55650619200911, -0.09272574364759995 51.55524490070796, -0.09075516736899886 51.55378342173447, -0.08893732994342632 51.55213582993006, -0.08728973813902158 51.55031799250449, -0.08582825916552636 51.54834741622589, -0.08456696786438113 51.54624307882105, -0.08351801116030784 51.54402524620952, -0.08269149107978478 51.54171527733176, -0.08209536746300924 51.5393354184508, -0.08173538130628508 51.53690858890864, -0.08161499947309001 51.5344581604004))",2
1,964219,81076,Ippudo London Co Ltd,Restaurant/Cafe/Canteen,NW3 1RE,3,fhrs_3_en-GB,2019-10-16,506,Camden,-0.170344,51.547386,POINT (-0.170344 51.547386),0.07771298728014504,8.4,"POLYGON ((-0.145344 51.547386, -0.1454643818331951 51.54493557149176, -0.1458243679899192 51.5425087419496, -0.1464204916066948 51.54012888306864, -0.1472470116872178 51.53781891419088, -0.1482959683912911 51.53560108157935, -0.1495572596924364 51.53349674417451, -0.1510187386659316 51.53152616789591, -0.1526663304703363 51.52970833047034, -0.1544841678959089 51.52806073866594, -0.1564547441745099 51.52659925969244, -0.1585590815793501 51.52533796839129, -0.1607769141908728 51.52428901168722, -0.1630868830686384 51.5234624916067, -0.1654667419495968 51.52286636798992, -0.167893571491761 51.5225063818332, -0.170344 51.522386, -0.172794428508239 51.5225063818332, -0.1752212580504032 51.52286636798992, -0.1776011169313615 51.5234624916067, -0.1799110858091272 51.52428901168722, -0.1821289184206499 51.52533796839129, -0.18423325582549 51.52659925969244, -0.1862038321040911 51.52806073866594, -0.1880216695296637 51.52970833047034, -0.1896692613340684 51.53152616789591, -0.1911307403075636 51.53349674417451, -0.1923920316087089 51.53560108157935, -0.1934409883127822 51.53781891419088, -0.1942675083933052 51.54012888306864, -0.1948636320100808 51.5425087419496, -0.1952236181668049 51.54493557149176, -0.195344 51.547386, -0.1952236181668049 51.54983642850824, -0.1948636320100808 51.55226325805041, -0.1942675083933052 51.55464311693137, -0.1934409883127822 51.55695308580913, -0.1923920316087089 51.55917091842066, -0.1911307403075636 51.56127525582549, -0.1896692613340684 51.56324583210409, -0.1880216695296637 51.56506366952966, -0.1862038321040911 51.56671126133407, -0.18423325582549 51.56817274030757, -0.1821289184206499 51.56943403160871, -0.1799110858091273 51.57048298831278, -0.1776011169313615 51.57130950839331, -0.1752212580504032 51.57190563201009, -0.172794428508239 51.57226561816681, -0.170344 51.572386, -0.167893571491761 51.57226561816681, -0.1654667419495968 51.57190563201009, -0.1630868830686384 51.57130950839331, -0.1607769141908728 51.57048298831278, -0.1585590815793501 51.56943403160871, -0.1564547441745099 51.56817274030757, -0.1544841678959089 51.56671126133407, -0.1526663304703363 51.56506366952966, -0.1510187386659316 51.56324583210409, -0.1495572596924364 51.56127525582549, -0.1482959683912911 51.55917091842066, -0.1472470116872178 51.55695308580913, -0.1464204916066948 51.55464311693137, -0.1458243679899192 51.55226325805041, -0.1454643818331951 51.54983642850824, -0.145344 51.547386))",13
2,667875,8851,Celtic Hotel,Hotel/bed & breakfast/guest house,WC1A 1EP,5,fhrs_5_en-GB,2020-01-07,506,Camden,-0.1371503,51.5416952,POINT (-0.1371503 51.5416952),0.04502153634797553,8.4,"POLYGON ((-0.1121503 51.5416952, -0.1122706818331951 51.53924477149176, -0.1126306679899192 51.53681794194959, -0.1132267916066948 51.53443808306864, -0.1140533116872178 51.53212811419088, -0.1151022683912911 51.52991028157935, -0.1163635596924364 51.52780594417451, -0.1178250386659316 51.52583536789591, -0.1194726304703363 51.52401753047034, -0.1212904678959089 51.52236993866593, -0.1232610441745099 51.52090845969244, -0.1253653815793501 51.51964716839129, -0.1275832141908728 51.51859821168722, -0.1298931830686385 51.5177716916067, -0.1322730419495968 51.51717556798992, -0.134699871491761 51.51681558183319, -0.1371503 51.5166952, -0.139600728508239 51.51681558183319, -0.1420275580504032 51.51717556798992, -0.1444074169313616 51.5177716916067, -0.1467173858091272 51.51859821168722, -0.1489352184206499 51.51964716839129, -0.1510395558254901 51.52090845969244, -0.1530101321040911 51.52236993866593, -0.1548279695296637 51.52401753047034, -0.1564755613340684 51.52583536789591, -0.1579370403075636 51.52780594417451, -0.1591983316087089 51.52991028157935, -0.1602472883127822 51.53212811419088, -0.1610738083933052 51.53443808306864, -0.1616699320100808 51.53681794194959, -0.1620299181668049 51.53924477149176, -0.1621503 51.5416952, -0.1620299181668049 51.54414562850824, -0.1616699320100808 51.54657245805041, -0.1610738083933052 51.54895231693136, -0.1602472883127822 51.55126228580912, -0.1591983316087089 51.55348011842065, -0.1579370403075636 51.55558445582549, -0.1564755613340684 51.55755503210409, -0.1548279695296637 51.55937286952966, -0.1530101321040911 51.56102046133407, -0.1510395558254901 51.56248194030756, -0.1489352184206499 51.56374323160871, -0.1467173858091273 51.56479218831278, -0.1444074169313616 51.5656187083933, -0.1420275580504032 51.56621483201008, -0.139600728508239 51.56657481816681, -0.1371503 51.5666952, -0.134699871491761 51.56657481816681, -0.1322730419495968 51.56621483201008, -0.1298931830686385 51.5656187083933, -0.1275832141908728 51.56479218831278, -0.1253653815793501 51.56374323160871, -0.1232610441745099 51.56248194030756, -0.1212904678959089 51.56102046133407, -0.1194726304703363 51.55937286952966, -0.1178250386659316 51.55755503210409, -0.1163635596924364 51.55558445582549, -0.1151022683912911 51.55348011842065, -0.1140533116872178 51.55126228580912, -0.1132267916066948 51.54895231693136, -0.1126306679899192 51.54657245805041, -0.1122706818331951 51.54414562850824, -0.1121503 51.5416952))",3
3,1204501,PI/000285444,Duke of Cambridge,Restaurant/Cafe/Canteen,N7 7NN,5,fhrs_5_en-GB,2019-11-21,519,Islington,-0.08452899754047,51.5467109680176,POINT (-0.08452899754047 51.5467109680176),0.029213878703106887,5.74,"POLYGON ((-0.05952899754047 51.5467109680176, -0.05964937937366507 51.54426053950936, -0.06000936553038923 51.54183370996719, -0.06060548914716478 51.53945385108624, -0.06143200922768782 51.53714388220848, -0.06248096593176112 51.53492604959695, -0.06374225723290636 51.53282171219211, -0.06520373620640157 51.53085113591351, -0.0668513280108063 51.52903329848794, -0.06866916543637885 51.52738570668353, -0.07063974171497994 51.52592422771004, -0.07274407911982005 51.52466293640889, -0.07496191173134276 51.52361397970482, -0.07727188060910845 51.5227874596243, -0.07965173949006679 51.52219133600752, -0.08207856903223097 51.52183134985079, -0.08452899754047 51.5217109680176, -0.08697942604870901 51.52183134985079, -0.0894062555908732 51.52219133600752, -0.09178611447183155 51.5227874596243, -0.09409608334959724 51.52361397970482, -0.09631391596111993 51.52466293640889, -0.09841825336596005 51.52592422771004, -0.1003888296445611 51.52738570668353, -0.1022066670701337 51.52903329848794, -0.1038542588745384 51.53085113591351, -0.1053157378480336 51.53282171219211, -0.1065770291491789 51.53492604959695, -0.1076259858532522 51.53714388220848, -0.1084525059337752 51.53945385108624, -0.1090486295505508 51.54183370996719, -0.1094086157072749 51.54426053950936, -0.10952899754047 51.5467109680176, -0.1094086157072749 51.54916139652584, -0.1090486295505508 51.55158822606801, -0.1084525059337752 51.55396808494896, -0.1076259858532522 51.55627805382672, -0.1065770291491789 51.55849588643825, -0.1053157378480336 51.56060022384309, -0.1038542588745384 51.56257080012169, -0.1022066670701337 51.56438863754726, -0.1003888296445611 51.56603622935167, -0.09841825336596005 51.56749770832516, -0.09631391596111995 51.56875899962631, -0.09409608334959725 51.56980795633038, -0.09178611447183156 51.5706344764109, -0.08940625559087322 51.57123060002768, -0.08697942604870901 51.57159058618441, -0.08452899754047 51.5717109680176, -0.082078569032231 51.57159058618441, -0.07965173949006679 51.57123060002768, -0.07727188060910845 51.5706344764109, -0.07496191173134274 51.56980795633038, -0.07274407911982006 51.56875899962631, -0.07063974171497994 51.56749770832516, -0.06866916543637885 51.56603622935167, -0.06685132801080632 51.56438863754726, -0.06520373620640157 51.56257080012169, -0.06374225723290636 51.56060022384309, -0.06248096593176113 51.55849588643825, -0.06143200922768784 51.55627805382672, -0.06060548914716478 51.55396808494896, -0.06000936553038924 51.55158822606801, -0.05964937937366507 51.54916139652584, -0.05952899754047 51.5467109680176))",40
4,1345462,21/00099/COMM,Avenida Brasil,Restaurant/Cafe/Canteen,SW9 8PD,3,fhrs_3_en-GB,2021-09-29,522,Lambeth,-0.113852,51.463257,POINT (-0.113852 51.463257),0.05955202039394473,10.36,"POLYGON ((-0.08885199999999999 51.463257, -0.08897238183319507 51.46080657149176, -0.08933236798991923 51.45837974194959, -0.08992849160669478 51.45599988306864, -0.09075501168721782 51.45368991419087, -0.09180396839129112 51.45147208157935, -0.09306525969243637 51.44936774417451, -0.09452673866593157 51.44739716789591, -0.0961743304703363 51.44557933047034, -0.09799216789590885 51.44393173866593, -0.09996274417450994 51.44247025969243, -0.10206708157935 51.44120896839129, -0.1042849141908727 51.44016001168722, -0.1065948830686384 51.4393334916067, -0.1089747419495968 51.43873736798992, -0.111401571491761 51.43837738183319, -0.113852 51.438257, -0.116302428508239 51.43837738183319, -0.1187292580504032 51.43873736798992, -0.1211091169313615 51.4393334916067, -0.1234190858091272 51.44016001168722, -0.1256369184206499 51.44120896839129, -0.12774125582549 51.44247025969243, -0.1297118321040911 51.44393173866593, -0.1315296695296637 51.44557933047034, -0.1331772613340684 51.44739716789591, -0.1346387403075636 51.44936774417451, -0.1359000316087089 51.45147208157935, -0.1369489883127822 51.45368991419087, -0.1377755083933052 51.45599988306864, -0.1383716320100808 51.45837974194959, -0.1387316181668049 51.46080657149176, -0.138852 51.463257, -0.1387316181668049 51.46570742850824, -0.1383716320100808 51.46813425805041, -0.1377755083933052 51.47051411693136, -0.1369489883127822 51.47282408580912, -0.1359000316087089 51.47504191842065, -0.1346387403075636 51.47714625582549, -0.1331772613340684 51.47911683210409, -0.1315296695296637 51.48093466952966, -0.1297118321040912 51.48258226133407, -0.1277412558254901 51.48404374030756, -0.1256369184206499 51.48530503160871, -0.1234190858091272 51.48635398831278, -0.1211091169313616 51.4871805083933, -0.1187292580504032 51.48777663201008, -0.116302428508239 51.48813661816681, -0.113852 51.488257, -0.111401571491761 51.48813661816681, -0.1089747419495968 51.48777663201008, -0.1065948830686384 51.4871805083933, -0.1042849141908727 51.48635398831278, -0.1020670815793501 51.48530503160871, -0.09996274417450995 51.48404374030756, -0.09799216789590885 51.48258226133407, -0.09617433047033631 51.48093466952966, -0.09452673866593157 51.47911683210409, -0.09306525969243637 51.47714625582549, -0.09180396839129112 51.47504191842065, -0.09075501168721783 51.47282408580912, -0.08992849160669478 51.47051411693136, -0.08933236798991924 51.46813425805041, -0.08897238183319507 51.46570742850824, -0.08885199999999999 51.463257))",1
5,1095054,PI/000282795,Go Habibi  (HCA),Other catering premises,N1 9EY,5,fhrs_5_en-GB,2018-12-12,519,Islington,-0.109011,51.567411,POINT (-0.109011 51.567411),0.04831936963579649,5.74,"POLYGON ((-0.084011 51.567411, -0.08413138183319507 51.56496057149176, -0.08449136798991924 51.56253374194959, -0.08508749160669478 51.56015388306864, -0.08591401168721782 51.55784391419088, -0.08696296839129111 51.55562608157935, -0.08822425969243636 51.55352174417451, -0.08968573866593157 51.55155116789591, -0.0913333304703363 51.54973333047034, -0.09315116789590885 51.54808573866593, -0.09512174417450994 51.54662425969244, -0.09722608157935005 51.54536296839129, -0.09944391419087276 51.54431401168722, -0.1017538830686384 51.5434874916067, -0.1041337419495968 51.54289136798992, -0.106560571491761 51.54253138183319, -0.109011 51.542411, -0.111461428508239 51.54253138183319, -0.1138882580504032 51.54289136798992, -0.1162681169313615 51.5434874916067, -0.1185780858091272 51.54431401168722, -0.1207959184206499 51.54536296839129, -0.1229002558254901 51.54662425969244, -0.1248708321040911 51.54808573866593, -0.1266886695296637 51.54973333047034, -0.1283362613340684 51.55155116789591, -0.1297977403075636 51.55352174417451, -0.1310590316087089 51.55562608157935, -0.1321079883127822 51.55784391419088, -0.1329345083933052 51.56015388306864, -0.1335306320100808 51.56253374194959, -0.1338906181668049 51.56496057149176, -0.134011 51.567411, -0.1338906181668049 51.56986142850824, -0.1335306320100808 51.57228825805041, -0.1329345083933052 51.57466811693136, -0.1321079883127822 51.57697808580912, -0.1310590316087089 51.57919591842065, -0.1297977403075636 51.58130025582549, -0.1283362613340684 51.58327083210409, -0.1266886695296637 51.58508866952966, -0.1248708321040911 51.58673626133407, -0.1229002558254901 51.58819774030756, -0.1207959184206499 51.58945903160871, -0.1185780858091273 51.59050798831278, -0.1162681169313616 51.5913345083933, -0.1138882580504032 51.59193063201008, -0.111461428508239 51.59229061816681, -0.109011 51.592411, -0.106560571491761 51.59229061816681, -0.1041337419495968 51.59193063201008, -0.1017538830686384 51.5913345083933, -0.09944391419087274 51.59050798831278, -0.09722608157935006 51.58945903160871, -0.09512174417450994 51.58819774030756, -0.09315116789590885 51.58673626133407, -0.09133333047033632 51.58508866952966, -0.08968573866593157 51.58327083210409, -0.08822425969243636 51.58130025582549, -0.08696296839129113 51.57919591842065, -0.08591401168721784 51.57697808580912, -0.08508749160669478 51.57466811693136, -0.08449136798991924 51.57228825805041, -0.08413138183319507 51.56986142850824, -0.084011 51.567411))",4
6,987544,14/00108/MIXED,Bethlem Therapeutic Garden - Occupational Therapy Dept,Other catering premises,BR6 0TE,Exempt,fhrs_exempt_en-GB,2021-11-23,505,Bromley,0.101973,51.375952,POINT (0.101973 51.375952),0.24628374025296487,57.97,"POLYGON ((0.126973 51.375952, 0.1268526181668049 51.37350157149176, 0.1264926320100808 51.37107474194959, 0.1258965083933052 51.36869488306863, 0.1250699883127822 51.36638491419087, 0.1240210316087089 51.36416708157935, 0.1227597403075636 51.36206274417451, 0.1212982613340684 51.36009216789591, 0.1196506695296637 51.35827433047034, 0.1178328321040911 51.35662673866593, 0.11586225582549 51.35516525969243, 0.1137579184206499 51.35390396839129, 0.1115400858091272 51.35285501168722, 0.1092301169313616 51.3520284916067, 0.1068502580504032 51.35143236798991, 0.104423428508239 51.35107238183319, 0.101973 51.350952, 0.09952257149176098 51.35107238183319, 0.09709574194959679 51.35143236798991, 0.09471588306863844 51.3520284916067, 0.09240591419087275 51.35285501168722, 0.09018808157935004 51.35390396839129, 0.08808374417450994 51.35516525969243, 0.08611316789590887 51.35662673866593, 0.0842953304703363 51.35827433047034, 0.08264773866593157 51.36009216789591, 0.08118625969243635 51.36206274417451, 0.07992496839129112 51.36416708157935, 0.07887601168721782 51.36638491419087, 0.07804949160669478 51.36869488306863, 0.07745336798991923 51.37107474194959, 0.07709338183319507 51.37350157149176, 0.07697299999999999 51.375952, 0.07709338183319507 51.37840242850824, 0.07745336798991923 51.3808292580504, 0.07804949160669478 51.38320911693136, 0.07887601168721782 51.38551908580912, 0.07992496839129112 51.38773691842065, 0.08118625969243635 51.38984125582549, 0.08264773866593156 51.39181183210409, 0.0842953304703363 51.39362966952966, 0.08611316789590884 51.39527726133407, 0.08808374417450994 51.39673874030756, 0.09018808157935004 51.39800003160871, 0.09240591419087274 51.39904898831278, 0.09471588306863843 51.3998755083933, 0.09709574194959678 51.40047163201008, 0.09952257149176098 51.40083161816681, 0.101973 51.400952, 0.104423428508239 51.40083161816681, 0.1068502580504032 51.40047163201008, 0.1092301169313615 51.3998755083933, 0.1115400858091272 51.39904898831278, 0.1137579184206499 51.39800003160871, 0.11586225582549 51.39673874030756, 0.1178328321040911 51.39527726133407, 0.1196506695296637 51.39362966952966, 0.1212982613340684 51.39181183210409, 0.1227597403075636 51.38984125582549, 0.1240210316087089 51.38773691842065, 0.1250699883127822 51.38551908580912, 0.1258965083933052 51.38320911693136, 0.1264926320100808 51.3808292580504, 0.1268526181668049 51.37840242850824, 0.126973 51.375952))",0
7,1033034,PI000136811,Co-Op,Retailers - supermarkets/hypermarkets,NW10 6QN,5,fhrs_5_en-GB,2017-02-28,509,Ealing,-0.339033,51.551316,POINT (-0.339033 51.551316),0.24356033228958376,21.44,"POLYGON ((-0.314033 51.551316, -0.3141533818331951 51.54886557149176, -0.3145133679899192 51.54643874194959, -0.3151094916066948 51.54405888306864, -0.3159360116872178 51.54174891419088, -0.3169849683912911 51.53953108157935, -0.3182462596924364 51.53742674417451, -0.3197077386659316 51.53545616789591, -0.3213553304703363 51.53363833047034, -0.3231731678959088 51.53199073866593, -0.3251437441745099 51.53052925969244, -0.32724808157935 51.52926796839129, -0.3294659141908727 51.52821901168722, -0.3317758830686384 51.5273924916067, -0.3341557419495967 51.52679636798992, -0.336582571491761 51.52643638183319, -0.339033 51.526316, -0.341483428508239 51.52643638183319, -0.3439102580504032 51.52679636798992, -0.3462901169313615 51.5273924916067, -0.3486000858091272 51.52821901168722, -0.3508179184206499 51.52926796839129, -0.35292225582549 51.53052925969244, -0.3548928321040911 51.53199073866593, -0.3567106695296637 51.53363833047034, -0.3583582613340684 51.53545616789591, -0.3598197403075636 51.53742674417451, -0.3610810316087089 51.53953108157935, -0.3621299883127821 51.54174891419088, -0.3629565083933052 51.54405888306864, -0.3635526320100808 51.54643874194959, -0.3639126181668049 51.54886557149176, -0.364033 51.551316, -0.3639126181668049 51.55376642850824, -0.3635526320100808 51.55619325805041, -0.3629565083933052 51.55857311693136, -0.3621299883127821 51.56088308580912, -0.3610810316087089 51.56310091842065, -0.3598197403075636 51.56520525582549, -0.3583582613340684 51.56717583210409, -0.3567106695296637 51.56899366952966, -0.3548928321040911 51.57064126133407, -0.35292225582549 51.57210274030756, -0.3508179184206499 51.57336403160871, -0.3486000858091272 51.57441298831278, -0.3462901169313615 51.5752395083933, -0.3439102580504032 51.57583563201008, -0.341483428508239 51.57619561816681, -0.339033 51.576316, -0.336582571491761 51.57619561816681, -0.3341557419495967 51.57583563201008, -0.3317758830686384 51.5752395083933, -0.3294659141908727 51.57441298831278, -0.32724808157935 51.57336403160871, -0.3251437441745099 51.57210274030756, -0.3231731678959088 51.57064126133407, -0.3213553304703363 51.56899366952966, -0.3197077386659316 51.56717583210409, -0.3182462596924364 51.56520525582549, -0.3169849683912911 51.56310091842065, -0.3159360116872178 51.56088308580912, -0.3151094916066948 51.55857311693136, -0.3145133679899192 51.55619325805041, -0.3141533818331951 51.55376642850824, -0.314033 51.551316))",0
8,653653,164524,Giddy Up Coffee,Restaurant/Cafe/Canteen,N16 5SA,5,fhrs_5_en-GB,2019-01-11,512,Hackney,-0.08047699928284,51.5336685180664,POINT (-0.08047699928283999 51.5336685180664),0.021466581036119405,7.36,"POLYGON ((-0.05547699928283999 51.5336685180664, -0.05559738111603507 51.53121808955816, -0.05595736727275923 51.52879126001599, -0.05655349088953478 51.52641140113504, -0.05738001097005782 51.52410143225728, -0.05842896767413112 51.52188359964575, -0.05969025897527636 51.51977926224091, -0.06115173794877157 51.51780868596231, -0.0627993297531763 51.51599084853674, -0.06461716717874885 51.51434325673233, -0.06658774345734994 51.51288177775884, -0.06869208086219004 51.51162048645769, -0.07090991347371275 51.51057152975362, -0.07321988235147844 51.5097450096731, -0.07559974123243679 51.50914888605632, -0.07802657077460097 51.50878889989959, -0.08047699928283999 51.5086685180664, -0.08292742779107901 51.50878889989959, -0.0853542573332432 51.50914888605632, -0.08773411621420155 51.5097450096731, -0.09004408509196724 51.51057152975362, -0.09226191770348993 51.51162048645769, -0.09436625510833005 51.51288177775884, -0.09633683138693114 51.51434325673233, -0.09815466881250368 51.51599084853674, -0.09980226061690842 51.51780868596231, -0.1012637395904036 51.51977926224091, -0.1025250308915489 51.52188359964575, -0.1035739875956222 51.52410143225728, -0.1044005076761452 51.52641140113504, -0.1049966312929208 51.52879126001599, -0.1053566174496449 51.53121808955816, -0.10547699928284 51.5336685180664, -0.1053566174496449 51.53611894657464, -0.1049966312929208 51.53854577611681, -0.1044005076761452 51.54092563499776, -0.1035739875956222 51.54323560387552, -0.1025250308915489 51.54545343648705, -0.1012637395904036 51.54755777389189, -0.09980226061690842 51.54952835017049, -0.09815466881250369 51.55134618759606, -0.09633683138693114 51.55299377940047, -0.09436625510833005 51.55445525837396, -0.09226191770348995 51.55571654967511, -0.09004408509196725 51.55676550637918, -0.08773411621420156 51.5575920264597, -0.08535425733324321 51.55818815007648, -0.08292742779107901 51.55854813623321, -0.08047699928283999 51.5586685180664, -0.078026570774601 51.55854813623321, -0.07559974123243679 51.55818815007648, -0.07321988235147844 51.5575920264597, -0.07090991347371274 51.55676550637918, -0.06869208086219006 51.55571654967511, -0.06658774345734994 51.55445525837396, -0.06461716717874885 51.55299377940047, -0.06279932975317631 51.55134618759606, -0.06115173794877157 51.54952835017049, -0.05969025897527636 51.54755777389189, -0.05842896767413112 51.54545343648705, -0.05738001097005783 51.54323560387552, -0.05655349088953478 51.54092563499776, -0.05595736727275924 51.53854577611681, -0.05559738111603507 51.53611894657464, -0.05547699928283999 51.5336685180664))",36
9,958830,340761,Hillyfield Academy,Hospitals/Childcare/Caring Premises,E17 8DQ,5,fhrs_5_en-GB,2021-05-25,531,Waltham Forest,0.011268,51.558496,POINT (0.011268 51.558496),0.11514751938272229,14.99,"POLYGON ((0.036268 51.558496, 0.03614761816680492 51.55604557149176, 0.03578763201008076 51.55361874194959, 0.03519150839330522 51.55123888306863, 0.03436498831278217 51.54892891419087, 0.03331603160870888 51.54671108157935, 0.03205474030756363 51.54460674417451, 0.03059326133406843 51.54263616789591, 0.02894566952966369 51.54081833047034, 0.02712783210409114 51.53917073866593, 0.02515725582549006 51.53770925969243, 0.02305291842064994 51.53644796839129, 0.02083508580912725 51.53539901168722, 0.01852511693136156 51.5345724916067, 0.01614525805040321 51.53397636798991, 0.01371842850823902 51.53361638183319, 0.011268 51.533496, 0.008817571491760984 51.53361638183319, 0.006390741949596795 51.53397636798991, 0.004010883068638445 51.5345724916067, 0.001700914190872756 51.53539901168722, -0.0005169184206499436 51.53644796839129, -0.002621255825490049 51.53770925969243, -0.004591832104091136 51.53917073866593, -0.006409669529663688 51.54081833047034, -0.008057261334068425 51.54263616789591, -0.009518740307563636 51.54460674417451, -0.01078003160870887 51.54671108157935, -0.01182898831278217 51.54892891419087, -0.01265550839330522 51.55123888306863, -0.01325163201008076 51.55361874194959, -0.01361161816680492 51.55604557149176, -0.013732 51.558496, -0.01361161816680492 51.56094642850824, -0.01325163201008076 51.5633732580504, -0.01265550839330522 51.56575311693136, -0.01182898831278217 51.56806308580912, -0.01078003160870888 51.57028091842065, -0.009518740307563639 51.57238525582549, -0.008057261334068429 51.57435583210409, -0.006409669529663691 51.57617366952966, -0.004591832104091149 51.57782126133407, -0.002621255825490054 51.57928274030756, -0.0005169184206499471 51.58054403160871, 0.001700914190872741 51.58159298831278, 0.004010883068638438 51.5824195083933, 0.006390741949596783 51.58301563201008, 0.008817571491760989 51.58337561816681, 0.011268 51.583496, 0.013718428508239 51.58337561816681, 0.01614525805040321 51.58301563201008, 0.01852511693136155 51.5824195083933, 0.02083508580912725 51.58159298831278, 0.02305291842064994 51.58054403160871, 0.02515725582549005 51.57928274030756, 0.02712783210409114 51.57782126133407, 0.02894566952966368 51.57617366952966, 0.03059326133406842 51.57435583210409, 0.03205474030756363 51.57238525582549, 0.03331603160870887 51.57028091842065, 0.03436498831278216 51.56806308580912, 0.03519150839330522 51.56575311693136, 0.03578763201008076 51.5633732580504, 0.03614761816680492 51.56094642850824, 0.036268 51.558496))",2
